,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1963,15/12/2012,within an hour,1.0,0.99,f,15.0,15.0,t,t,Bukit Timah,Central Region,1.31398,103.78961,Private room in apartment,Private room,3,1 private bath,1.0,2.0,78.0,3,180,t,10,40,70,345,19,10,1,06/09/2018,07/10/2020,1,10.0,9.0,9.0,9.0,9.0,9.0,t,14,2,12,0,0.73
1964,07/04/2017,within an hour,0.98,0.93,f,7.0,7.0,t,t,Rochor,Central Region,1.30303,103.84773,Entire apartment,Entire home/apt,5,2 baths,2.0,2.0,140.0,3,365,t,30,60,90,91,47,8,0,15/08/2018,21/09/2020,1,8.0,8.0,10.0,10.0,10.0,9.0,f,3,3,0,0,1.75
1965,01/08/2018,,0.0,0.67,t,4.0,4.0,t,f,Bedok,East Region,1.3174299999999999,103.90675,Private room in apartment,Private room,4,1.5 shared baths,1.0,2.0,80.0,90,1125,t,29,59,89,180,6,1,0,22/08/2018,02/01/2020,1,10.0,10.0,10.0,10.0,10.0,10.0,f,3,0,3,0,0.23
1966,11/02/2018,within an hour,1.0,1.0,f,3.0,3.0,t,t,Yishun,North Region,1.41547,103.84264,Shared room in apartment,Shared room,3,1.5 shared baths,1.0,3.0,51.0,1,2,t,14,34,38,38,49,30,0,07/04/2019,01/08/2020,1,9.0,9.0,9.0,9.0,9.0,9.0,t,2,0,1,1,2.58
1967,01/08/2018,,0.0,0.67,t,4.0,4.0,t,f,Bedok,East Region,1.31867,103.9074,Private room in apartment,Private room,2,1 private bath,1.0,2.0,80.0,90,1125,t,29,59,89,180,5,1,0,28/08/2018,16/11/2019,1,10.0,10.0,10.0,10.0,10.0,9.0,f,3,0,3,0,0.19
1968,19/07/2018,a few days or more,0.0,0.0,f,4.0,4.0,t,t,Singapore River,Central Region,1.28762,103.84707,Entire apartment,Entire home/apt,4,1 bath,2.0,2.0,285.0,180,720,t,30,60,90,181,21,1,0,02/09/2018,13/12/2019,1,10.0,10.0,10.0,10.0,10.0,10.0,t,2,2,0,0,0.8
1969,19/07/2018,a few days or more,0.0,0.0,f,4.0,4.0,t,t,Singapore River,Central Region,1.28762,103.84707,Entire apartment,Entire home/apt,2,1 bath,1.0,1.0,265.0,180,720,t,30,60,90,181,20,2,0,06/10/2018,06/01/2020,1,10.0,10.0,10.0,10.0,10.0,9.0,t,2,2,0,0,0.8
1970,01/08/2018,,0.0,0.67,t,4.0,4.0,t,f,Bedok,East Region,1.31855,103.9069,Private room in apartment,Private room,2,1 private bath,1.0,1.0,80.0,90,1125,t,29,59,89,364,2,0,0,02/04/2019,30/04/2019,1,10.0,10.0,10.0,9.0,10.0,9.0,f,3,0,3,0,0.1
1971,08/08/2018,,0.0,0.0,f,1.0,1.0,t,f,Jurong West,West Region,1.34938,103.71019,Private room in apartment,Private room,2,1 shared bath,1.0,1.0,48.0,90,1125,t,30,60,90,91,1,0,0,14/08/2018,14/08/2018,1,10.0,10.0,10.0,10.0,10.0,10.0,t,1,0,1,0,0.04
1972,14/05/2018,,0.0,0.0,f,2.0,2.0,f,f,Woodlands,North Region,1.44284,103.79551,Private room in house,Private room,1,1 private bath,1.0,1.0,80.0,1,15,t,30,60,90,365,0,0,0,,,0,,,,,,,f,2,0,2,0,
